,Description,Position Id,Variance,EPC,PC,Position,Men off,Wastage,Checkers,1,2,3,4,5,6,Formula used,Estimate,Error,Abc,Matussek,2 Tower,3 Tower,4 Tower,5 Tower,Odd,CG,CG_N,gap1,gap2,gap3,gap4,gap5,gap6,tower1,tower2,tower3,tower4,tower5,tower6,towers,acedeuce,highlow,High,Medium,Low,Rollish
8931,Medium,35747,0.66189086,40.049248,27,7 140003,7,13.049248,8,1,4,0,0,0,3,Matussek,40.0,-0.0492477417,37.0,40.0,,,,,0,3.375,1.125,0,0,1,1,1,0,0,0,0,0,0,0,0,5,4,False,True,False,False
8932,Low,27173,0.45503792,33.334373,20,8 230002,8,13.334373,7,2,3,0,0,0,2,Matussek,32.6,-0.7343734741,30.5,32.6,,,,,1,2.357142857142857,0.7857142857142857,0,0,1,1,1,0,0,0,0,0,0,0,0,5,3,False,False,True,False
8933,Medium,14130,1.2812169,67.462654,55,0 302460,0,12.462654,15,3,0,2,4,6,0,Tba,62.0,-5.462654114,66.0,70.9,,,,,1,3.1666666666666665,1.0555555555555556,0,1,0,0,0,1,0,0,0,0,1,0,1,3,6,False,True,False,False
8934,Medium,13343,1.1885619,59.74616,49,2 202450,2,10.74616,13,2,0,2,4,5,0,Tba,56.0,-3.7461586,59.0,61.7,,,,,1,3.269230769230769,1.0897435897435896,0,1,0,0,0,1,0,0,0,0,1,0,1,2,5,False,True,False,False
8935,High,45982,1.8499097,73.29669,66,1 011354,1,7.29669,14,0,1,1,3,5,4,Abc,73.5,0.2033081055,73.5,76.2,,,,,0,4.714285714285714,1.5714285714285714,1,0,0,0,0,0,0,0,0,0,1,0,1,1,5,True,False,False,False
8936,High,34782,1.3855704,56.270058,49,5 000352,5,7.270058,10,0,0,0,3,5,2,Abc,56.0,-0.2700576782,56.0,56.9,,,,,0,4.9,1.6333333333333335,1,1,1,0,0,0,0,0,0,0,1,0,1,0,5,True,False,False,False
8937,Medium,9030,1.0417283,50.81775,40,4 111620,4,10.81775,11,1,1,1,6,2,0,Four Tower,51.8,0.9822509766,49.5,52.4,,,51.8,,1,3.1363636363636362,1.0454545454545454,0,0,0,0,0,1,0,0,0,1,0,0,1,2,6,False,True,False,False
8938,Medium,2942,0.6469369,33.865303,24,8 101500,8,9.865303,7,1,0,1,5,0,0,Four Tower,34.2,0.3346969604,33.0,34.3,,,34.2,,1,2.9285714285714284,0.9761904761904762,0,1,0,0,1,1,0,0,0,1,0,0,1,1,5,False,True,False,False
8939,Medium,11237,0.64900887,41.6328,29,6 221040,6,12.6328,9,2,2,1,0,4,0,Tba,36.0,-5.632801056,40.0,41.7,,,,,1,2.7222222222222223,0.9074074074074074,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4,False,True,False,False
8940,Low,17597,0.71133405,50.338787,32,3 430401,3,18.338787,12,4,3,0,4,0,1,Tba,39.0,-11.33878708,44.5,50.1,,,,,0,2.6666666666666665,0.8888888888888888,0,0,1,0,1,0,0,0,0,0,0,0,0,7,4,False,False,True,False
8941,Medium,24895,1.1950928,61.805023,52,1 123341,1,9.805023,14,1,2,3,3,4,1,Tba,59.0,-2.805023193,61.5,65.6,,,,,0,3.7142857142857144,1.2380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,False,True,False,False
8942,Rollish,5176,0.6127696,51.104004,28,2 550210,2,23.104004,13,5,5,0,2,1,0,Tba,35.0,-16.10400391,43.5,50.0,,,,,1,1.6538461538461537,0.5512820512820512,0,0,1,0,0,1,1,1,0,0,0,0,2,10,5,False,False,False,True
8943,Rollish,8064,0.55911547,51.697773,32,2 531220,2,19.697773,13,5,3,1,2,2,0,Tba,39.0,-12.69777298,46.5,52.4,,,,,1,1.9615384615384617,0.6538461538461539,0,0,0,0,0,1,1,0,0,0,0,0,1,8,5,False,False,False,True
8944,Medium,11182,0.8579178,51.80999,32,3 440040,3,19.80999,12,4,4,0,0,4,0,Tba,39.0,-12.80998993,46.0,51.5,,,,,0,2.6666666666666665,0.8888888888888888,0,0,1,1,0,1,0,0,0,0,0,0,0,8,4,False,True,False,False
